,0
112,"RT @BBGVisualData: Russia is a commodities powerhouse, exporting huge amounts of materials the world needs to build cars, transport goods,…"
113,"RT @KyivIndependent: Ukraine's General Staff report: 

🔵 Russia transfers new troops to Belarus to replenish its assault force
🟡 4 Russian…"
114,"RT @IAPonomarenko: Russians, of course, will not agree on releasing all the children suffering in Mariupol now in exchange for Ukraine’s po…"
115,"RT @IAPonomarenko: Russians, of course, will not agree on releasing all the children suffering in Mariupol now in exchange for Ukraine’s po…"
116,@News24 It's always US telling Ukraine's situation as if they're currently in that place🤣🤣🤣🤣
117,"@MaxBlumenthal #USA and #EU, stop being hypocrites, stop crying your crocodile tears for Ukraine when you neglected… https://t.co/S6CIxIirZs"
118,RT @SamRamani2: Putin's chief negotiator Vladimir Medinsky and foreign intelligence chief Sergei Naryshkin just made fiery speeches to rall…
119,RT @BBCTimFranks: BREAKING: confirmation from a Mariupol official of what would be the single worst loss of life in the Ukraine war so far…
120,RT @POTUS: It was an honor to meet with European Commission President von der Leyen this morning. We are united in our condemnation of Russ…
121,"RT @mbk_center: Ukraine 🇺🇦, one month after the Russian invasion https://t.co/2ZE0s33w4P"
122,"RT @UncleWalterBSC: Uncle Walter stands with Ukraine.  If you are in Ukraine or are a refugee in need of some financial assistance, comment…"
123,"RT @MrKovalenko: On March 24, #Ukraine Armed Forces liberated the next village -&gt; Luk`yanivka to the east from capital #Kyiv. They destroye…"
124,"RT @SamRamani2: Russia's fixation on US biological weapons facilities in Ukraine has sparked fears that Russia could use WMDs. 

The Kremli…"
125,"We won't comment on military activity, but this is exactly our volunteer teams in #Ukraine do and this is what make… https://t.co/jnGqTScqwa"
126,RT @BBCRosAtkins: You’ll have seen the multiple false claims that Putin and his supporters are making about ‘Nazis’ in Ukraine. We’ve looke…
127,RT @Morning_Joe: Biden travels to Poland as the country struggles with Ukraine refugee influx https://t.co/v1TKmN6RqW
128,"RT @KyivIndependent: Ukraine's General Staff report: 

🔵 Russia transfers new troops to Belarus to replenish its assault force
🟡 4 Russian…"
129,RT @BBCTimFranks: BREAKING: confirmation from a Mariupol official of what would be the single worst loss of life in the Ukraine war so far…
130,RT @JolyonMaugham: How the wealthy and powerful abuse defamation law to silence poorer critics. An extraordinary piece by Arabella Pike. ht…
131,"RT @AdinHaykin1: It still crazy to think that proportional speaking, the second intifada was as deadly as the war in Ukraine"
